Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Nélson Semedo,pt POR,DF,Wolves,31-046,1993,16,16,1406,15.6,0,3,3,0,0,0,6,0,0.4,0.4,1.4,1.8,30,35,44,0.00,0.19,0.19,0.00,0.19,0.02,0.09,0.12,0.02,0.12
Antoine Semenyo,gh GHA,FW,Bournemouth,24-360,2000,18,18,1566,17.4,5,2,7,5,0,0,5,0,5.9,5.9,3.1,9.0,74,52,152,0.29,0.11,0.40,0.29,0.40,0.34,0.18,0.52,0.34,0.52
Marcos Senesi,ar ARG,DF,Bournemouth,27-236,1997,11,11,917,10.2,0,0,0,0,0,0,4,0,0.8,0.8,0.4,1.2,11,45,3,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12
Ryan Sessegnon,eng ENG,MF,Fulham,24-228,2000,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luke Shaw,eng ENG,DF,Manchester Utd,29-173,1995,2,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bernardo Silva,pt POR,"MF,FW",Manchester City,30-144,1994,19,17,1556,17.3,2,4,6,2,0,0,4,0,2.7,2.7,3.9,6.6,65,77,145,0.12,0.23,0.35,0.12,0.35,0.16,0.23,0.38,0.16,0.38
Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25-153,1999,18,3,542,6.0,0,1,1,0,0,0,3,0,0.5,0.5,1.6,2.2,16,12,36,0.00,0.17,0.17,0.00,0.17,0.09,0.27,0.36,0.09,0.36
Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18-243,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19-058,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-198,1999,8,1,208,2.3,1,1,2,1,0,0,0,0,1.1,1.1,1.0,2.1,14,3,29,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92
Oliver Skipp,eng ENG,MF,Leicester City,24-107,2000,12,7,708,7.9,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.3,12,20,10,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
William Smallbone,ie IRL,MF,Southampton,24-315,2000,4,3,241,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,2,8,12,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.23,0.11,0.23
Adam Smith,eng ENG,DF,Bournemouth,33-247,1991,17,12,1035,11.5,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,7,31,16,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Emile Smith Rowe,eng ENG,MF,Fulham,24-157,2000,17,14,1091,12.1,3,2,5,3,0,0,1,0,2.2,2.2,1.0,3.1,35,74,63,0.25,0.16,0.41,0.25,0.41,0.18,0.08,0.26,0.18,0.26
Dominic Solanke,eng ENG,FW,Tottenham,27-109,1997,16,16,1418,15.8,6,3,9,6,0,0,0,0,7.8,7.8,2.6,10.3,25,36,67,0.38,0.19,0.57,0.38,0.57,0.49,0.16,0.66,0.49,0.66
Carlos Soler,es ESP,MF,West Ham,27-365,1997,15,8,724,8.0,0,1,1,0,0,0,5,0,1.1,1.1,0.9,2.0,9,35,16,0.00,0.12,0.12,0.00,0.12,0.13,0.11,0.25,0.13,0.25
Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-123,1999,12,1,222,2.5,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,9,4,13,0.41,0.00,0.41,0.41,0.41,0.37,0.17,0.54,0.37,0.54
Tomáš Souček,cz CZE,MF,West Ham,29-309,1995,17,14,1255,13.9,4,0,4,4,0,0,5,0,2.8,2.8,0.6,3.4,2,41,31,0.29,0.00,0.29,0.29,0.29,0.20,0.05,0.25,0.20,0.25
Boubakary Soumaré,fr FRA,MF,Leicester City,25-309,1999,12,8,745,8.3,0,0,0,0,0,0,7,0,0.1,0.1,0.1,0.2,8,33,8,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Djed Spence,eng ENG,DF,Tottenham,24-145,2000,7,3,320,3.6,0,1,1,0,0,0,3,1,0.1,0.1,0.9,1.0,14,23,20,0.00,0.28,0.28,0.00,0.28,0.02,0.24,0.27,0.02,0.27
Jay Stansfield,eng ENG,MF,Fulham,22-038,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jason Steele,eng ENG,GK,Brighton,34-136,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jack Stephens,eng ENG,DF,Southampton,30-340,1994,10,10,793,8.8,0,0,0,0,0,0,2,2,0.3,0.3,0.1,0.4,11,43,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Raheem Sterling,eng ENG,"MF,FW",Arsenal,30-024,1994,6,2,148,1.6,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.7,10,6,19,0.00,0.61,0.61,0.00,0.61,0.31,0.10,0.41,0.31,0.41
Ross Stewart,sct SCO,"FW,MF",Southampton,28-174,1996,4,1,132,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Jakub Stolarczyk,pl POL,GK,Leicester City,24-013,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Stones,eng ENG,"DF,MF",Manchester City,30-218,1994,8,4,331,3.7,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,8,18,1,0.54,0.00,0.54,0.54,0.54,0.12,0.02,0.14,0.12,0.14
Jørgen Strand Larsen,no NOR,FW,Wolves,24-330,2000,19,18,1532,17.0,7,2,9,7,0,0,2,0,4.5,4.5,1.3,5.8,6,13,52,0.41,0.12,0.53,0.41,0.53,0.26,0.08,0.34,0.26,0.34
Yukinari Sugawara,jp JPN,DF,Southampton,24-187,2000,16,11,933,10.4,1,1,2,1,0,0,3,0,0.4,0.4,2.2,2.6,21,53,47,0.10,0.10,0.19,0.10,0.19,0.04,0.21,0.25,0.04,0.25
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22-321,2002,8,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Crysencio Summerville,nl NED,"MF,FW",West Ham,23-063,2001,18,6,695,7.7,1,1,2,1,0,0,2,0,1.5,1.5,1.5,3.0,27,15,65,0.13,0.13,0.26,0.13,0.26,0.20,0.20,0.39,0.20,0.39
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-099,1995,17,12,906,10.1,3,0,3,3,0,0,2,0,3.1,3.1,0.2,3.3,15,17,46,0.30,0.00,0.30,0.30,0.30,0.31,0.02,0.33,0.31,0.33
Dominik Szoboszlai,hu HUN,MF,Liverpool,24-068,2000,17,12,1132,12.6,2,2,4,2,0,0,5,0,4.0,4.0,2.9,6.9,38,57,50,0.16,0.16,0.32,0.16,0.32,0.32,0.23,0.55,0.32,0.55
Matt Targett,eng ENG,DF,Newcastle Utd,29-105,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
James Tarkowski,eng ENG,DF,Everton,32-043,1992,18,18,1611,17.9,0,0,0,0,0,0,4,0,0.7,0.7,1.3,2.0,4,41,2,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11
Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,25-285,1999,15,13,1140,12.7,1,4,5,1,0,0,2,0,4.1,4.1,2.6,6.7,26,70,83,0.08,0.32,0.39,0.08,0.39,0.32,0.20,0.53,0.32,0.53
Charlie Taylor,eng ENG,DF,Southampton,31-105,1993,6,2,221,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Jack Taylor,ie IRL,MF,Ipswich Town,26-192,1998,14,1,348,3.9,1,0,1,1,0,0,3,0,0.5,0.5,0.5,1.1,8,30,9,0.26,0.00,0.26,0.26,0.26,0.14,0.14,0.28,0.14,0.28
Kenny Tete,nl NED,DF,Fulham,29-084,1995,15,15,1262,14.0,0,2,2,0,0,0,3,0,1.0,1.0,0.7,1.8,33,42,39,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.13,0.07,0.13
Thiago,br BRA,FW,Brentford,23-189,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.11,0.07,0.11
Luke Thomas,eng ENG,DF,Leicester City,23-205,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,5,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Youri Tielemans,be BEL,MF,Aston Villa,27-239,1997,19,19,1591,17.7,0,4,4,0,0,1,3,0,1.5,0.7,4.2,4.9,22,118,21,0.00,0.23,0.23,0.00,0.23,0.08,0.24,0.32,0.04,0.28
Jurriën Timber,nl NED,DF,Arsenal,23-198,2001,16,15,1305,14.5,1,1,2,1,0,0,4,0,0.7,0.7,0.6,1.3,25,64,44,0.07,0.07,0.14,0.07,0.14,0.05,0.04,0.09,0.05,0.09
Jean-Clair Todibo,fr FRA,DF,West Ham,25-002,1999,14,7,814,9.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-135,1995,3,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Takehiro Tomiyasu,jp JPN,DF,Arsenal,26-057,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,2.37,0.00,2.37,2.37,2.37
Sandro Tonali,it ITA,MF,Newcastle Utd,24-238,2000,17,10,1011,11.2,0,1,1,0,0,0,4,0,2.2,2.2,0.4,2.6,8,43,23,0.00,0.09,0.09,0.00,0.09,0.19,0.04,0.23,0.19,0.23
Pau Torres,es ESP,DF,Aston Villa,27-351,1997,18,18,1549,17.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,31,70,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Conor Townsend,eng ENG,MF,Ipswich Town,31-303,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.60,0.00,1.60
Adama Traoré,es ESP,"FW,MF",Fulham,28-342,1996,18,11,929,10.3,1,3,4,1,0,0,2,0,2.9,2.9,2.8,5.7,52,33,83,0.10,0.29,0.39,0.10,0.39,0.28,0.27,0.55,0.28,0.55
Mark Travers,ie IRL,GK,Bournemouth,25-228,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ryan Trevitt,eng ENG,MF,Brentford,21-295,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kieran Trippier,eng ENG,DF,Newcastle Utd,34-104,1990,11,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,10,35,26,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Leandro Trossard,be BEL,FW,Arsenal,30-028,1994,18,11,1007,11.2,3,2,5,3,0,0,2,1,3.1,3.1,3.2,6.3,31,45,82,0.27,0.18,0.45,0.27,0.45,0.28,0.28,0.56,0.28,0.56
Kostas Tsimikas,gr GRE,DF,Liverpool,28-234,1996,8,2,254,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,5,31,7,0.00,0.00,0.00,0.00,0.00,0.03,0.19,0.21,0.03,0.21
Axel Tuanzebe,cd COD,DF,Ipswich Town,27-048,1997,9,9,770,8.6,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,4,20,3,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Destiny Udogie,it ITA,DF,Tottenham,22-034,2002,18,18,1430,15.9,0,1,1,0,0,0,2,0,0.3,0.3,1.3,1.6,39,97,79,0.00,0.06,0.06,0.00,0.06,0.02,0.08,0.10,0.02,0.10
Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,23-265,2001,13,8,712,7.9,0,0,0,0,0,0,5,0,0.3,0.3,0.5,0.8,7,27,9,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10
Lesley Ugochukwu,fr FRA,MF,Southampton,20-281,2004,9,3,371,4.1,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,10,18,6,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15
Enes Ünal,tr TUR,"FW,MF",Bournemouth,27-236,1997,16,2,324,3.6,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,20,0.56,0.28,0.83,0.56,0.83,0.75,0.11,0.86,0.75,0.86
Virgil van Dijk,nl NED,DF,Liverpool,33-177,1991,18,18,1620,18.0,1,1,2,1,0,0,1,0,1.0,1.0,0.3,1.3,4,67,4,0.06,0.06,0.11,0.06,0.11,0.06,0.02,0.07,0.06,0.07
Jamie Vardy,eng ENG,FW,Leicester City,37-356,1987,17,17,1371,15.2,6,3,9,5,1,1,4,0,6.1,5.3,2.3,7.7,14,14,60,0.39,0.20,0.59,0.33,0.53,0.40,0.15,0.55,0.35,0.50
Renato Veiga,pt POR,"DF,MF",Chelsea,21-156,2003,7,1,181,2.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,4,7,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Joël Veltman,nl NED,DF,Brighton,32-352,1992,13,13,1109,12.3,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,20,43,20,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Micky van de Ven,nl NED,DF,Tottenham,23-257,2001,9,9,788,8.8,0,2,2,0,0,0,4,0,0.4,0.4,1.2,1.5,8,43,1,0.00,0.23,0.23,0.00,0.23,0.04,0.13,0.17,0.04,0.17
Bart Verbruggen,nl NED,GK,Brighton,22-136,2002,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jannik Vestergaard,dk DEN,DF,Leicester City,32-151,1992,11,10,870,9.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.1,1,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Guglielmo Vicario,it ITA,GK,Tottenham,28-086,1996,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carlos Vinícius,br BRA,MF,Fulham,29-282,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.83,0.83,0.83
Kyle Walker,eng ENG,DF,Manchester City,34-218,1990,14,9,940,10.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,12,64,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.01,0.06
Kyle Walker-Peters,eng ENG,DF,Southampton,27-263,1997,17,17,1510,16.8,0,2,2,0,0,0,3,0,0.3,0.3,2.2,2.5,66,72,51,0.00,0.12,0.12,0.00,0.12,0.02,0.13,0.15,0.02,0.15
Christian Walton,eng ENG,GK,Ipswich Town,29-053,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-036,1997,18,17,1534,17.0,2,0,2,2,0,0,0,0,0.9,0.9,0.9,1.8,55,72,68,0.12,0.00,0.12,0.12,0.12,0.05,0.05,0.11,0.05,0.11
Danny Ward,wls WAL,GK,Leicester City,31-193,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
James Ward-Prowse,eng ENG,MF,West Ham,30-061,1994,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-061,1994,8,5,397,4.4,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,1,16,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Ollie Watkins,eng ENG,FW,Aston Villa,29-002,1995,19,15,1272,14.1,8,4,12,6,2,2,0,0,9.9,8.3,1.9,10.1,26,13,86,0.57,0.28,0.85,0.42,0.71,0.70,0.13,0.83,0.59,0.72
Adam Webster,eng ENG,DF,Brighton,29-363,1995,3,2,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Danny Welbeck,eng ENG,FW,Brighton,34-036,1990,14,13,1112,12.4,6,2,8,6,0,0,1,0,5.6,5.6,0.5,6.1,10,29,46,0.49,0.16,0.65,0.49,0.65,0.45,0.04,0.49,0.45,0.49
Timo Werner,de GER,"FW,MF",Tottenham,28-301,1996,16,3,446,5.0,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,39,26,82,0.00,0.61,0.61,0.00,0.61,0.20,0.51,0.70,0.20,0.70
Adam Wharton,eng ENG,MF,Crystal Palace,20-213,2004,8,8,622,6.9,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,6,61,6,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12
Ben White,eng ENG,DF,Arsenal,27-085,1997,9,7,695,7.7,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.6,4,30,15,0.00,0.13,0.13,0.00,0.13,0.02,0.06,0.07,0.02,0.07
Mats Wieffer,nl NED,MF,Brighton,25-046,1999,13,4,471,5.2,1,1,2,1,0,0,2,0,0.5,0.5,0.6,1.0,5,34,8,0.19,0.19,0.38,0.19,0.38,0.09,0.10,0.19,0.09,0.19
Neco Williams,wls WAL,DF,Nott'ham Forest,23-263,2001,16,9,909,10.1,0,1,1,0,0,0,4,0,1.0,1.0,0.5,1.5,25,31,28,0.00,0.10,0.10,0.00,0.10,0.10,0.05,0.15,0.10,0.15
Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-134,1999,16,6,543,6.0,0,1,1,0,0,0,2,0,0.7,0.7,1.1,1.8,18,22,42,0.00,0.17,0.17,0.00,0.17,0.11,0.19,0.30,0.11,0.30
Callum Wilson,eng ENG,"FW,MF",Newcastle Utd,32-309,1992,4,0,61,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Harry Wilson,wls WAL,"FW,MF",Fulham,27-285,1997,15,4,524,5.8,5,0,5,5,0,0,2,0,2.8,2.8,0.2,3.0,8,21,48,0.86,0.00,0.86,0.86,0.86,0.48,0.03,0.51,0.48,0.51
Harry Winks,eng ENG,MF,Leicester City,28-334,1996,14,12,1058,11.8,0,2,2,0,0,0,3,0,0.2,0.2,1.1,1.3,12,68,8,0.00,0.17,0.17,0.00,0.17,0.01,0.10,0.11,0.01,0.11
Ben Winterburn,eng ENG,MF,Bournemouth,20-119,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yoane Wissa,cd COD,FW,Brentford,28-120,1996,15,14,1137,12.6,9,1,10,9,0,0,2,0,6.7,6.7,0.8,7.6,24,27,67,0.71,0.08,0.79,0.71,0.79,0.53,0.07,0.60,0.53,0.60
Chris Wood,nz NZL,FW,Nott'ham Forest,33-025,1991,19,18,1486,16.5,11,1,12,9,2,2,1,0,6.9,5.3,1.2,6.5,12,16,40,0.67,0.06,0.73,0.55,0.61,0.42,0.07,0.49,0.32,0.39
Nathan Wood-Gordon,eng ENG,DF,Southampton,22-215,2002,6,5,526,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,13,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Luke Woolfenden,eng ENG,DF,Ipswich Town,26-072,1998,7,6,557,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yehor Yarmoliuk,ua UKR,MF,Brentford,20-306,2004,13,4,416,4.6,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.5,8,19,23,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.12,0.08,0.12
Ryan Yates,eng ENG,MF,Nott'ham Forest,27-041,1997,18,13,1308,14.5,1,0,1,1,0,0,5,0,1.7,1.7,0.7,2.4,12,34,10,0.07,0.00,0.07,0.07,0.07,0.12,0.05,0.17,0.12,0.17
Leny Yoro,fr FRA,DF,Manchester Utd,19-049,2005,6,2,242,2.7,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,9,1,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21
Ashley Young,eng ENG,DF,Everton,39-176,1985,15,15,1267,14.1,1,3,4,1,0,0,5,1,0.2,0.2,1.3,1.5,15,75,13,0.07,0.21,0.28,0.07,0.28,0.02,0.09,0.11,0.02,0.11
Illia Zabarnyi,ua UKR,DF,Bournemouth,22-122,2002,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.6,0.6,0.5,1.1,13,76,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06
Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-017,1996,6,2,238,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,19,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-224,2001,19,7,704,7.8,3,1,4,3,0,0,1,0,3.0,3.0,0.8,3.8,5,21,32,0.38,0.13,0.51,0.38,0.51,0.38,0.11,0.49,0.38,0.49
Martin Ødegaard,no NOR,MF,Arsenal,26-015,1998,11,11,906,10.1,1,2,3,0,1,1,1,0,2.5,1.7,1.9,3.6,33,100,58,0.10,0.20,0.30,0.00,0.20,0.25,0.18,0.43,0.17,0.36
